Year,District,Units,Value
2018,Barcelona,Rate per 1.000,16.01
2018,Ciutat Vella,Rate per 1.000,25.88
2018,Eixample,Rate per 1.000,15.3
2018,Sants-Montjuïc,Rate per 1.000,17.78
2018,Les Corts,Rate per 1.000,6.03
2018,Sarrià - Sant Gervasi,Rate per 1.000,6.42
2018,Gràcia,Rate per 1.000,4.58
2018,Horta - Guinardó,Rate per 1.000,7.19
2018,Nou Barris,Rate per 1.000,24.66
2018,Sant Andreu,Rate per 1.000,14.33
2018,Sant Martí,Rate per 1.000,15.0
2018,Barcelona,Differential higuest lowest rate,21.3
2019,Barcelona,Rate per 1.000,15.44
2019,Ciutat Vella,Rate per 1.000,26.04
2019,Eixample,Rate per 1.000,9.41
2019,Sants-Montjuïc,Rate per 1.000,16.44
2019,Les Corts,Rate per 1.000,10.45
2019,Sarrià - Sant Gervasi,Rate per 1.000,5.51
2019,Gràcia,Rate per 1.000,7.0
2019,Horta - Guinardó,Rate per 1.000,9.91
2019,Nou Barris,Rate per 1.000,23.98
2019,Sant Andreu,Rate per 1.000,14.11
2019,Sant Martí,Rate per 1.000,10.12
2019,Barcelona,Differential higuest lowest rate,20.53
2020,Barcelona,Rate per 1.000,12.8
2020,Ciutat Vella,Rate per 1.000,17.9
2020,Eixample,Rate per 1.000,5.2
2020,Sants-Montjuïc,Rate per 1.000,9.5
2020,Les Corts,Rate per 1.000,1.8
2020,Sarrià - Sant Gervasi,Rate per 1.000,4.1
2020,Gràcia,Rate per 1.000,7.3
2020,Horta - Guinardó,Rate per 1.000,8.5
2020,Nou Barris,Rate per 1.000,20.9
2020,Sant Andreu,Rate per 1.000,12.7
2020,Sant Martí,Rate per 1.000,11.3
2020,Barcelona,Differential higuest lowest rate,19.1
2021,Barcelona,Rate per 1.000,15.4
2021,Ciutat Vella,Rate per 1.000,21.1
2021,Eixample,Rate per 1.000,7.6
2021,Sants-Montjuïc,Rate per 1.000,14.7
2021,Les Corts,Rate per 1.000,6.8
2021,Sarrià - Sant Gervasi,Rate per 1.000,7.8
2021,Gràcia,Rate per 1.000,7.7
2021,Horta - Guinardó,Rate per 1.000,9.7
2021,Nou Barris,Rate per 1.000,20.6
2021,Sant Andreu,Rate per 1.000,11.4
2021,Sant Martí,Rate per 1.000,15.7
2021,Barcelona,Differential higuest lowest rate,14.3
2022,Barcelona,Rate per 1.000,15.8
2022,Ciutat Vella,Rate per 1.000,24.4
2022,Eixample,Rate per 1.000,9.5
2022,Sants-Montjuïc,Rate per 1.000,13.1
2022,Les Corts,Rate per 1.000,7.7
2022,Sarrià - Sant Gervasi,Rate per 1.000,7.6
2022,Gràcia,Rate per 1.000,9.2
2022,Horta - Guinardó,Rate per 1.000,14.7
2022,Nou Barris,Rate per 1.000,24.6
2022,Sant Andreu,Rate per 1.000,15.4
2022,Sant Martí,Rate per 1.000,12.9
2022,Barcelona,Differential higuest lowest rate,17.0
2023,Barcelona,Rate per 1.000,15.7
2023,Ciutat Vella,Rate per 1.000,21.4
2023,Eixample,Rate per 1.000,10.8
2023,Sants-Montjuïc,Rate per 1.000,15.5
2023,Les Corts,Rate per 1.000,9.9
2023,Sarrià - Sant Gervasi,Rate per 1.000,8.5
2023,Gràcia,Rate per 1.000,12.8
2023,Horta - Guinardó,Rate per 1.000,15.5
2023,Nou Barris,Rate per 1.000,21.5
2023,Sant Andreu,Rate per 1.000,12.6
2023,Sant Martí,Rate per 1.000,13.4
2023,Barcelona,Differential higuest lowest rate,13.1
2024,Barcelona,Rate per 1.000,17.5
2024,Ciutat Vella,Rate per 1.000,18.0
2024,Eixample,Rate per 1.000,11.5
2024,Sants-Montjuïc,Rate per 1.000,16.1
2024,Les Corts,Rate per 1.000,8.7
2024,Sarrià - Sant Gervasi,Rate per 1.000,7.0
2024,Gràcia,Rate per 1.000,10.3
2024,Horta - Guinardó,Rate per 1.000,11.6
2024,Nou Barris,Rate per 1.000,22.3
2024,Sant Andreu,Rate per 1.000,14.3
2024,Sant Martí,Rate per 1.000,15.2
2024,Barcelona,Differential higuest lowest rate,15.3
