Year,Language,Units,Value
2015,Catalan,Percentage,77.0
2016,Catalan,Percentage,76.0
2017,Catalan,Percentage,75.0
2018,Catalan,Percentage,77.0
2019,Catalan,Percentage,77.0
2020,Catalan,Percentage,77.0
2021,Catalan,Percentage,75.3
2022,Catalan,Percentage,74.4
2015,Spanish,Percentage,100.0
2016,Spanish,Percentage,100.0
2017,Spanish,Percentage,100.0
2018,Spanish,Percentage,100.0
2019,Spanish,Percentage,100.0
2020,Spanish,Percentage,100.0
2021,Spanish,Percentage,99.9
2022,Spanish,Percentage,100.0
2015,English,Percentage,44.0
2016,English,Percentage,46.0
2017,English,Percentage,48.0
2018,English,Percentage,51.0
2019,English,Percentage,51.0
2020,English,Percentage,57.0
2021,English,Percentage,56.6
2022,English,Percentage,56.2
