Year,Type_Segregation,Education_Level,Units,Value
2018-2019,Foreign students,Primary school,Index,0.44
2018-2019,Special Educational Needs,Primary school,Index,0.39
2018-2019,Foreign students,Secundary school,Index,0.41
2018-2019,Special Educational Needs,Secundary school,Index,0.29
2021-2022,Foreign students,Primary school,Index,0.35
2021-2022,Special Educational Needs,Primary school,Index,0.44
2021-2022,Foreign students,Secundary school,Index,0.34
2021-2022,Special Educational Needs,Secundary school,Index,0.40
2022-2023,Foreign students,Primary school,Index,0.30
2022-2023,Special Educational Needs,Primary school,Index,0.40
2022-2023,Foreign students,Secundary school,Index,0.31
2022-2023,Special Educational Needs,Secundary school,Index,0.37
2024-2025,Foreign students,Primary school,Index,0.24
2024-2025,Special Educational Needs,Primary school,Index,0.37
2024-2025,Foreign students,Secundary school,Index,0.27
2024-2025,Special Educational Needs,Secundary school,Index,0.34
