Year,Value,Units
2015,56,Número de asentamientos ilegales
2016,62,Número de asentamientos ilegales
2017,72,Número de asentamientos ilegales
2018,79,Número de asentamientos ilegales
2019,77,Número de asentamientos ilegales
2020,75,Número de asentamientos ilegales
2021,81,Número de asentamientos ilegales
2022,66,Número de asentamientos ilegales
2023,77,Número de asentamientos ilegales
2024,60,Número de asentamientos ilegales
2017,143,Personas que viven en asentamientos ilegales
2018,339,Personas que viven en asentamientos ilegales
2019,396,Personas que viven en asentamientos ilegales
2020,428,Personas que viven en asentamientos ilegales
2021,476,Personas que viven en asentamientos ilegales
2022,385,Personas que viven en asentamientos ilegales
2023,354,Personas que viven en asentamientos ilegales
2024,276,Personas que viven en asentamientos ilegales
